Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other"
9758,5219530,82557.0,2006,1,100,53.4,40.68267,-73.966721,2.0,199.0,3.996364153861897,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5471,2719858,159770.0,1927,1,100,56.8,40.798941,-73.972323,7.0,187.0,4.056988775678332,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1799,4038850,124597.0,1973,1,100,47.1,40.743726,-73.9959,4.0,91.0,3.8732821771117156,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5038,2806930,71000.0,1940,1,100,42.2,40.777523,-73.944891,8.0,152.0,3.765840495250065,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5521,2614534,60158.0,1900,1,100,13.5,40.808423,-73.96629,9.0,205.0,2.6741486494265287,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8733,2737236,147500.0,1934,1,100,71.6,40.882699,-73.9161,8.0,301.0,4.28496492183075,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13329,2669109,123182.0,1952,1,100,86.0,,,,,4.465908118654584,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10332,4421553,61994.0,1959,1,100,129.9,40.671047,-73.861857,5.0,1208.0,4.874433672915854,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7904,4474524,56265.0,1924,1,100,118.6,40.868247,-73.891703,7.0,40302.0,4.784152841516532,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2554,3541787,108614.0,1978,1,100,69.9,40.741273,-73.979185,6.0,66.0,4.2612704335380815,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5439,3111548,123205.0,1950,1,100,77.2,40.805266,-73.965887,9.0,199.0,4.359269647551265,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14494,3782599,206936.0,1988,1,85,136.7,,,,,4.925077405734609,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10439,4039683,65561.0,1937,1,100,71.5,40.640979,-73.945623,17.0,830.0,4.283586561860629,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14990,4628296,,1913,1,95,44.3,,,,,3.8133070324889884,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1399,4401417,63000.0,1920,1,100,41.1,40.735593,-74.010064,2.0,75.0,3.7400477406883357,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4540,4952519,188767.0,1987,1,100,91.5,40.769705,-73.956399,8.0,134.0,4.52720864451838,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3104,2630985,118055.0,1974,1,100,207.2,40.77524,-73.982186,7.0,153.0,5.338499156180869,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5426,3993855,107102.0,1909,1,100,106.3,40.803276,-73.964606,7.0,195.0,4.675628649636653,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1622,4739512,51717.0,1939,1,100,71.3,40.741901,-73.998069,4.0,87.0,4.280824129164719,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11422,3094809,62000.0,1929,1,100,97.4,40.613906,-73.949294,14.0,548.0,4.589040804058207,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8514,3856040,113018.0,1931,1,100,79.8,40.868234,-73.863443,11.0,340.0,4.39197696552705,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2678,1151970,1039529.0,1968,1,100,67.8,40.755942,-73.983324,5.0,119.0,4.231203744939298,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6283,4442290,61900.0,1950,1,90,143.5,40.876181,-73.909426,8.0,309.0,4.973279507552487,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9971,4917686,85152.0,2008,1,95,31.7,40.719062,-73.949549,1.0,515.0,3.487375077903208,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6205,5831207,91968.0,1935,1,100,42.8,40.856649,-73.937151,12.0,275.0,3.7796338173824005,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1716,4405909,139629.0,1926,1,60,30.7,40.753514,-73.990728,5.0,109.0,3.456316680883235,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4294,2669817,156823.0,1960,1,100,149.4,40.763097,-73.967562,8.0,11402.0,5.0132984115157395,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5691,3963655,58560.0,1926,1,100,74.3,40.815961,-73.960318,9.0,211.0,4.321480134805848,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8556,4039664,268560.0,1935,30,100,111.9,40.876814,-73.850354,12.0,386.0,4.726502471155617,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4595,4952835,136820.0,1963,1,100,125.6,40.768523,-73.952541,8.0,132.0,4.841032509710076,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4712,2659852,116190.0,1948,1,100,70.8,40.781821,-73.958103,8.0,15002.0,4.273884476054178,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2859,2678205,186954.0,1926,1,100,107.2,40.761377,-73.987803,4.0,127.0,4.6839813664123815,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14237,4411812,119900.0,1941,1,100,88.1,,,,,4.489759334476764,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
