Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Longitude,Largest Property Use Type - Gross Floor Area (ft²)_52000.0,Largest Property Use Type - Gross Floor Area (ft²)_54000.0,Largest Property Use Type - Gross Floor Area (ft²)_60000.0,Largest Property Use Type - Gross Floor Area (ft²)_63000.0,Largest Property Use Type - Gross Floor Area (ft²)_65000.0,Largest Property Use Type - Gross Floor Area (ft²)_66000.0,Largest Property Use Type - Gross Floor Area (ft²)_70000.0,Largest Property Use Type - Gross Floor Area (ft²)_75000.0,Largest Property Use Type - Gross Floor Area (ft²)_80000.0,Largest Property Use Type - Gross Floor Area (ft²)_Other,"NYC Borough, Block and Lot (BBL) self-reported_1019610001","NYC Borough, Block and Lot (BBL) self-reported_1019730001","NYC Borough, Block and Lot (BBL) self-reported_1020350001","NYC Borough, Block and Lot (BBL) self-reported_2028760055","NYC Borough, Block and Lot (BBL) self-reported_3-01920-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06789-0015","NYC Borough, Block and Lot (BBL) self-reported_4-06790-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06791-0001","NYC Borough, Block and Lot (BBL) self-reported_4-06792-0600","NYC Borough, Block and Lot (BBL) self-reported_Other",score
5103,2665934,56670.0,1935,1,100,108.4,40.795972,-73.949859,11.0,17401.0,4.695010889987881,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5104,5029858,59280.0,1920,1,100,140.3,40.795585,-73.948065,11.0,17401.0,4.950885289690482,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5114,4410415,103600.0,2007,3,100,155.3,40.800187,-73.946797,11.0,184.0,5.051777237427431,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5121,2794406,212482.0,1962,1,100,66.0,40.786647,-73.952149,11.0,15802.0,4.204692619390966,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5125,2794417,126605.0,1968,1,100,132.0,40.78688,-73.952297,11.0,15802.0,4.890349128221754,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5139,3501598,60720.0,2007,1,100,80.1,40.795147,-73.945216,11.0,172.0,4.395682961121367,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5161,4036635,424623.0,2003,1,100,87.4,40.787598,-73.943196,11.0,164.0,4.481871969643598,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5167,5049424,56646.0,1927,1,100,36.6,40.793459,-73.939233,11.0,180.0,3.6270040503958487,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5172,3112019,412985.0,1973,1,100,60.7,40.786516,-73.942305,11.0,162.0,4.122283930911342,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5173,3111979,412985.0,1973,1,100,58.0,40.786071,-73.942634,11.0,162.0,4.07753744390572,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5176,2587548,257400.0,1913,1,100,23.0,40.792327,-73.938082,11.0,162.0,3.1780538303479458,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5181,5866134,617062.0,2007,1,100,3.9,40.794613,-73.932092,11.0,178.0,1.589235205116581,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5184,2657939,77093.0,1900,1,100,103.8,40.803315,-73.944833,10.0,200.0,4.6520537718869415,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5193,3129691,79989.0,1980,1,100,88.1,40.810748,-73.940796,10.0,208.0,4.489759334476764,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5208,3501599,176100.0,2007,1,100,71.9,40.815761,-73.936831,10.0,212.0,4.289088639014612,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5214,2793010,167900.0,1942,1,100,67.8,40.802019,-73.943379,11.0,198.0,4.231203744939298,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5222,4062644,55770.0,1927,1,100,92.5,40.804861,-73.940656,11.0,198.0,4.537961436294641,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5244,3499429,78087.0,1930,1,100,42.0,40.80083,-73.937926,11.0,196.0,3.7612001156935624,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5245,2811580,358400.0,1972,1,100,75.6,40.801915,-73.939229,11.0,196.0,4.338597076746545,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5263,2813738,76941.0,2007,1,100,76.8,40.798958,-73.938328,11.0,188.0,4.354141431184346,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5265,4865120,62791.0,1992,1,100,112.9,40.800885,-73.937059,11.0,194.0,4.735320870453137,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5266,2710775,285185.0,1972,1,100,152.3,40.801859,-73.937148,11.0,194.0,5.0323967858777685,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5270,5866250,50908.0,2006,1,100,,40.802964,-73.935912,11.0,242.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5274,2820273,91256.0,2004,1,100,76.5,40.804822,-73.93444,11.0,242.0,4.350277936359301,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5275,4124879,137456.0,2004,1,100,35.0,40.80422,-73.932566,11.0,242.0,3.58351893845611,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5286,4411928,57516.0,1904,1,100,78.1,40.800821,-73.952803,10.0,216.0,4.370712874773608,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5290,3249589,64869.0,1926,1,100,80.5,40.802171,-73.952571,10.0,218.0,4.400603020246817,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
5303,5819946,91601.0,1900,1,100,66.8,40.802798,-73.95654,10.0,216.0,4.216562194946349,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
